Sector,Service_Name,Target_Audience,Service_Description,Service_Steps,Requirements,Service_Fees,Official_URL,RAG_Content
المرور,تفويض مركبة,أفراد,تمكن مالك المركبة من إضافة مفوض لقيادة المركبة داخل أو خارج المملكة.,1. الدخول لأبشر;2. المركبات;3. إدارة المركبات;4. اختيار المركبة;5. إضافة تفويض واتباع الخطوات.,وجود تأمين ساري، سداد الرسوم والمخالفات، تسجيل الطرفين في أبشر.,مجانية,https://my.gov.sa/ar/services/269504,"اسم الخدمة: تفويض مركبة
القطاع: المرور
الفئة المستهدفة: أفراد
وصف الخدمة: تمكن مالك المركبة من إضافة مفوض لقيادة المركبة داخل أو خارج المملكة.
خطوات الخدمة: 1. الدخول لأبشر;2. المركبات;3. إدارة المركبات;4. اختيار المركبة;5. إضافة تفويض واتباع الخطوات.
المستندات المطلوبة: وجود تأمين ساري، سداد الرسوم والمخالفات، تسجيل الطرفين في أبشر.
رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/269504"
الجوازات,تمديد تأشيرة الزيارة,أفراد (زائرين),تتيح للمستفيد طلب تمديد تأشيرة الزيارة إلكترونياً قبل انتهائها.,1. الدخول لأبشر;2. خدمات أفراد الأسرة أو العمالة;3. تمديد تأشيرة الزيارة;4. إكمال البيانات وسداد الرسوم.,أن يكون متبقي على انتهاء التأشيرة 7 أيام أو أقل، ألا يكون قد مضى على انتهائها أكثر من 3 أيام، سداد الرسوم.,100 ريال,https://my.gov.sa/ar/services/269236,"اسم الخدمة: تمديد تأشيرة الزيارة
القطاع: الجوازات
الفئة المستهدفة: أفراد (زائرين)
وصف الخدمة: تتيح للمستفيد طلب تمديد تأشيرة الزيارة إلكترونياً قبل انتهائها.
خطوات الخدمة: 1. الدخول لأبشر;2. خدمات أفراد الأسرة أو العمالة;3. تمديد تأشيرة الزيارة;4. إكمال البيانات وسداد الرسوم.
المستندات المطلوبة: أن يكون متبقي على انتهاء التأشيرة 7 أيام أو أقل، ألا يكون قد مضى على انتهائها أكثر من 3 أيام، سداد الرسوم.
رسوم الخدمة: 100 ريال
الرابط الرسمي: https://my.gov.sa/ar/services/269236"
الجوازات,إلغاء تأشيرة الخروج والعودة,أفراد,تمكن صاحب العمل أو رب الأسرة من إلغاء تأشيرة تم إصدارها سابقاً ولم يتم السفر بها.,1. الدخول لأبشر;2. خدمات التأشيرات;3. اختيار الشخص;4. إلغاء التأشيرة;5. التأكيد.,أن يتم الإلغاء خلال فترة صلاحية التأشيرة، وجود الشخص داخل المملكة.,مجانية (لا تسترد رسوم الإصدار),https://my.gov.sa/ar/services/269426,"اسم الخدمة: إلغاء تأشيرة الخروج والعودة
القطاع: الجوازات
الفئة المستهدفة: أفراد
وصف الخدمة: تمكن صاحب العمل أو رب الأسرة من إلغاء تأشيرة تم إصدارها سابقاً ولم يتم السفر بها.
خطوات الخدمة: 1. الدخول لأبشر;2. خدمات التأشيرات;3. اختيار الشخص;4. إلغاء التأشيرة;5. التأكيد.
المستندات المطلوبة: أن يتم الإلغاء خلال فترة صلاحية التأشيرة، وجود الشخص داخل المملكة.
رسوم الخدمة: مجانية (لا تسترد رسوم الإصدار)
الرابط الرسمي: https://my.gov.sa/ar/services/269426"
الجوازات,إصدار الجواز السعودي,أفراد (مواطنين),تتيح للمواطن إصدار جواز السفر السعودي لأول مرة أو تجديده إلكترونياً.,1. الدخول لأبشر;2. خدماتي;3. الجوازات;4. إصدار الجواز السعودي;5. تحديد المدة وسداد الرسوم وتحديد العنوان.,سداد الرسوم، وجود هوية وطنية سارية، وجود بصمة مسجلة، العنوان الوطني.,300 ريال (5 سنوات)، 600 ريال (10 سنوات),https://my.gov.sa/ar/services/112093,"اسم الخدمة: إصدار الجواز السعودي
القطاع: الجوازات
الفئة المستهدفة: أفراد (مواطنين)
وصف الخدمة: تتيح للمواطن إصدار جواز السفر السعودي لأول مرة أو تجديده إلكترونياً.
خطوات الخدمة: 1. الدخول لأبشر;2. خدماتي;3. الجوازات;4. إصدار الجواز السعودي;5. تحديد المدة وسداد الرسوم وتحديد العنوان.
المستندات المطلوبة: سداد الرسوم، وجود هوية وطنية سارية، وجود بصمة مسجلة، العنوان الوطني.
رسوم الخدمة: 300 ريال (5 سنوات)، 600 ريال (10 سنوات)
الرابط الرسمي: https://my.gov.sa/ar/services/112093"
الجوازات,تجديد هوية مقيم (أفراد),أفراد,تمكن الفرد من تجديد إقامة أفراد الأسرة أو العمالة المنزلية إلكترونياً.,1. الدخول لأبشر;2. خدمات المكفولين أو أفراد الأسرة;3. تجديد الإقامة;4. تحديد المدة والتأكيد.,سداد الرسوم، سداد المخالفات، وجود تأمين طبي، تواجد الشخص داخل المملكة.,600 ريال (للعمالة المنزلية),https://my.gov.sa/ar/services/112096,"اسم الخدمة: تجديد هوية مقيم (أفراد)
القطاع: الجوازات
الفئة المستهدفة: أفراد
وصف الخدمة: تمكن الفرد من تجديد إقامة أفراد الأسرة أو العمالة المنزلية إلكترونياً.
خطوات الخدمة: 1. الدخول لأبشر;2. خدمات المكفولين أو أفراد الأسرة;3. تجديد الإقامة;4. تحديد المدة والتأكيد.
المستندات المطلوبة: سداد الرسوم، سداد المخالفات، وجود تأمين طبي، تواجد الشخص داخل المملكة.
رسوم الخدمة: 600 ريال (للعمالة المنزلية)
الرابط الرسمي: https://my.gov.sa/ar/services/112096"
الجوازات,الإبلاغ عن فقدان الجواز السعودي لأفراد الأسرة,أفراد (مواطنين),تمكن رب الأسرة من الإبلاغ إلكترونياً عن فقدان أو سرقة جواز سفر أحد أفراد أسرته.,1. الدخول لأبشر;2. خدماتي ثم الجوازات;3. الإبلاغ عن فقدان الجواز;4. اختيار فرد الأسرة وتحديد نوع البلاغ;5. تأكيد الطلب.,تعبئة تفاصيل البلاغ بدقة، أن يكون المبلغ هو رب الأسرة المسجل نظاماً.,مجانية,https://my.gov.sa/ar/services/143484,"اسم الخدمة: الإبلاغ عن فقدان الجواز السعودي لأفراد الأسرة
القطاع: الجوازات
الفئة المستهدفة: أفراد (مواطنين)
وصف الخدمة: تمكن رب الأسرة من الإبلاغ إلكترونياً عن فقدان أو سرقة جواز سفر أحد أفراد أسرته.
خطوات الخدمة: 1. الدخول لأبشر;2. خدماتي ثم الجوازات;3. الإبلاغ عن فقدان الجواز;4. اختيار فرد الأسرة وتحديد نوع البلاغ;5. تأكيد الطلب.
المستندات المطلوبة: تعبئة تفاصيل البلاغ بدقة، أن يكون المبلغ هو رب الأسرة المسجل نظاماً.
رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/143484"
المرور,إصدار رخصة قيادة (مواعيد),أفراد,تتيح حجز موعد في مدارس تعليم القيادة المعتمدة لإجراء التدريب والاختبارات.,1. الدخول لأبشر;2. مواعيد ثم المرور;3. حجز موعد جديد;4. اختيار خدمة التدريب في مدارس القيادة;5. تحديد المدرسة والوقت والتأكيد.,توفر حساب أبشر، الالتزام بالموعد المحدد في المدرسة المختارة.,مجانية (للحجز),https://my.gov.sa/ar/services/112124,"اسم الخدمة: إصدار رخصة قيادة (مواعيد)
القطاع: المرور
الفئة المستهدفة: أفراد
وصف الخدمة: تتيح حجز موعد في مدارس تعليم القيادة المعتمدة لإجراء التدريب والاختبارات.
خطوات الخدمة: 1. الدخول لأبشر;2. مواعيد ثم المرور;3. حجز موعد جديد;4. اختيار خدمة التدريب في مدارس القيادة;5. تحديد المدرسة والوقت والتأكيد.
المستندات المطلوبة: توفر حساب أبشر، الالتزام بالموعد المحدد في المدرسة المختارة.
رسوم الخدمة: مجانية (للحجز)
الرابط الرسمي: https://my.gov.sa/ar/services/112124"
المرور,مبايعة المركبات,أفراد,إتمام إجراءات بيع ونقل ملكية المركبة إلكترونياً بين البائع والمشتري بشكل آمن.,1. دخول البائع لأبشر وتحديد المركبة والسعر;2. إدخال بيانات المشتري والحساب البنكي;3. قبول المشتري للطلب وتحويل المبلغ لحساب وسيط;4. سداد الرسوم والتأكيد.,"فحص دوري ساري، تأمين ساري، عدم وجود مخالفات، السعر بين 500 و1,000,000 ريال.",380 ريال,https://my.gov.sa/ar/services/112114,"اسم الخدمة: مبايعة المركبات
القطاع: المرور
الفئة المستهدفة: أفراد
وصف الخدمة: إتمام إجراءات بيع ونقل ملكية المركبة إلكترونياً بين البائع والمشتري بشكل آمن.
خطوات الخدمة: 1. دخول البائع لأبشر وتحديد المركبة والسعر;2. إدخال بيانات المشتري والحساب البنكي;3. قبول المشتري للطلب وتحويل المبلغ لحساب وسيط;4. سداد الرسوم والتأكيد.
المستندات المطلوبة: فحص دوري ساري، تأمين ساري، عدم وجود مخالفات، السعر بين 500 و1,000,000 ريال.
رسوم الخدمة: 380 ريال
الرابط الرسمي: https://my.gov.sa/ar/services/112114"
المرور,تجديد رخصة القيادة,أفراد,تجديد رخصة القيادة الخاصة أو رخصة الدراجة النارية إلكترونياً وتوصيلها للعنوان.,1. الدخول لأبشر;2. خدماتي ثم المرور;3. تجديد رخصة القيادة;4. اختيار نوع الرخصة والمدة;5. سداد الرسوم واختيار عنوان التوصيل.,إجراء الفحص الطبي في مركز معتمد، سداد الرسوم والمخالفات، بقاء أقل من 180 يوماً على الانتهاء.,متغيرة (حسب عدد السنوات),https://my.gov.sa/ar/services/99736,"اسم الخدمة: تجديد رخصة القيادة
القطاع: المرور
الفئة المستهدفة: أفراد
وصف الخدمة: تجديد رخصة القيادة الخاصة أو رخصة الدراجة النارية إلكترونياً وتوصيلها للعنوان.
خطوات الخدمة: 1. الدخول لأبشر;2. خدماتي ثم المرور;3. تجديد رخصة القيادة;4. اختيار نوع الرخصة والمدة;5. سداد الرسوم واختيار عنوان التوصيل.
المستندات المطلوبة: إجراء الفحص الطبي في مركز معتمد، سداد الرسوم والمخالفات، بقاء أقل من 180 يوماً على الانتهاء.
رسوم الخدمة: متغيرة (حسب عدد السنوات)
الرابط الرسمي: https://my.gov.sa/ar/services/99736"
المرور,تجديد رخصة سير (استمارة),أفراد,تمكن مالك المركبة من تجديد استمارة السيارة إلكترونياً دون الحاجة لزيارة فروع المرور.,1. الدخول لأبشر;2. المركبات ثم إدارة المركبات;3. اختيار المركبة;4. اختيار تجديد رخصة سير;5. تأكيد التجديد.,وجود فحص دوري ساري، تأمين ساري، سداد رسوم التجديد والمخالفات.,متغيرة (حسب نوع المركبة),https://my.gov.sa/ar/services/112111,"اسم الخدمة: تجديد رخصة سير (استمارة)
القطاع: المرور
الفئة المستهدفة: أفراد
وصف الخدمة: تمكن مالك المركبة من تجديد استمارة السيارة إلكترونياً دون الحاجة لزيارة فروع المرور.
خطوات الخدمة: 1. الدخول لأبشر;2. المركبات ثم إدارة المركبات;3. اختيار المركبة;4. اختيار تجديد رخصة سير;5. تأكيد التجديد.
المستندات المطلوبة: وجود فحص دوري ساري، تأمين ساري، سداد رسوم التجديد والمخالفات.
رسوم الخدمة: متغيرة (حسب نوع المركبة)
الرابط الرسمي: https://my.gov.sa/ar/services/112111"
الأحوال المدنية,تجديد الهوية الوطنية,أفراد (مواطنين),تجديد بطاقة الهوية الوطنية إلكترونياً باستخدام تقنيات التعرف على الوجه وتوصيلها للمنزل.,1. الدخول لأبشر;2. خدماتي ثم الأحوال المدنية;3. تجديد الهوية الوطنية;4. رفع صورة شخصية مطابقة للمواصفات;5. سداد أجور التوصيل.,مطابقة الصورة للشروط، بقاء أقل من 180 يوماً على الانتهاء، وجود عنوان وطني.,مجانية (تطبق رسوم التوصيل),https://my.gov.sa/ar/services/143495,"اسم الخدمة: تجديد الهوية الوطنية
القطاع: الأحوال المدنية
الفئة المستهدفة: أفراد (مواطنين)
وصف الخدمة: تجديد بطاقة الهوية الوطنية إلكترونياً باستخدام تقنيات التعرف على الوجه وتوصيلها للمنزل.
خطوات الخدمة: 1. الدخول لأبشر;2. خدماتي ثم الأحوال المدنية;3. تجديد الهوية الوطنية;4. رفع صورة شخصية مطابقة للمواصفات;5. سداد أجور التوصيل.
المستندات المطلوبة: مطابقة الصورة للشروط، بقاء أقل من 180 يوماً على الانتهاء، وجود عنوان وطني.
رسوم الخدمة: مجانية (تطبق رسوم التوصيل)
الرابط الرسمي: https://my.gov.sa/ar/services/143495"
المرور,إسقاط المركبات المهملة,أفراد,تتيح للمستفيدين إسقاط المركبات القديمة أو التالفة من سجلاتهم عبر التوجه للمراكز المعتمدة.,1. الاستعلام عن المراكز المعتمدة في أبشر;2. تسليم المركبة واللوحات للمركز;3. إعطاء رمز التحقق للمركز لإتمام الإسقاط.,تسليم المركبة لمركز معتمد، عدم وجود مخالفات مرورية على المركبة.,مجانية (خلال الفترة التصحيحية),https://my.gov.sa/ar/services/99752,"اسم الخدمة: إسقاط المركبات المهملة
القطاع: المرور
الفئة المستهدفة: أفراد
وصف الخدمة: تتيح للمستفيدين إسقاط المركبات القديمة أو التالفة من سجلاتهم عبر التوجه للمراكز المعتمدة.
خطوات الخدمة: 1. الاستعلام عن المراكز المعتمدة في أبشر;2. تسليم المركبة واللوحات للمركز;3. إعطاء رمز التحقق للمركز لإتمام الإسقاط.
المستندات المطلوبة: تسليم المركبة لمركز معتمد، عدم وجود مخالفات مرورية على المركبة.
رسوم الخدمة: مجانية (خلال الفترة التصحيحية)
الرابط الرسمي: https://my.gov.sa/ar/services/99752"
الأحوال المدنية,إصدار شهادة وفاة,أفراد,تسجيل واقعة الوفاة وإصدار الشهادة إلكترونياً بناءً على بلاغ المستشفى.,1. الدخول لأبشر;2. خدمات الأحوال المدنية;3. شهادة الوفاة;4. استعراض بلاغات الوفاة المسجلة;5. تأكيد الإصدار والطباعة.,وجود بلاغ وفاة إلكتروني من المستشفى، أن يكون مقدم الطلب قريباً من الدرجة الأولى.,مجانية,https://my.gov.sa/ar/services/152960,"اسم الخدمة: إصدار شهادة وفاة
القطاع: الأحوال المدنية
الفئة المستهدفة: أفراد
وصف الخدمة: تسجيل واقعة الوفاة وإصدار الشهادة إلكترونياً بناءً على بلاغ المستشفى.
خطوات الخدمة: 1. الدخول لأبشر;2. خدمات الأحوال المدنية;3. شهادة الوفاة;4. استعراض بلاغات الوفاة المسجلة;5. تأكيد الإصدار والطباعة.
المستندات المطلوبة: وجود بلاغ وفاة إلكتروني من المستشفى، أن يكون مقدم الطلب قريباً من الدرجة الأولى.
رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/152960"
الأحوال المدنية,إصدار سجل الأسرة (للآباء),أفراد (مواطنين),إصدار كرت العائلة (سجل الأسرة) للآباء حديثي الزواج أو عند إضافة تابعين.,1. الدخول لأبشر;2. خدمات الأحوال المدنية;3. إصدار سجل الأسرة;4. التأكد من البيانات وطلب التوصيل.,أن تكون الحالة الاجتماعية محدثة، وجود عنوان وطني مفعل.,مجانية (تطبق رسوم التوصيل),https://my.gov.sa/ar/services/112102,"اسم الخدمة: إصدار سجل الأسرة (للآباء)
القطاع: الأحوال المدنية
الفئة المستهدفة: أفراد (مواطنين)
وصف الخدمة: إصدار كرت العائلة (سجل الأسرة) للآباء حديثي الزواج أو عند إضافة تابعين.
خطوات الخدمة: 1. الدخول لأبشر;2. خدمات الأحوال المدنية;3. إصدار سجل الأسرة;4. التأكد من البيانات وطلب التوصيل.
المستندات المطلوبة: أن تكون الحالة الاجتماعية محدثة، وجود عنوان وطني مفعل.
رسوم الخدمة: مجانية (تطبق رسوم التوصيل)
الرابط الرسمي: https://my.gov.sa/ar/services/112102"
