اسم الخدمة,RAG_Content,القطاع,خطوات الخدمة,المستندات المطلوبة,سعر الخدمة,رابط الخدمة
إصدار جواز بدل مفقود,"اسم الخدمة: إصدار جواز بدل مفقود
القطاع: الجوازات
الفئة المستهدفة: أفراد (مواطنين)
وصف الخدمة: تمكن المواطن من طلب إصدار جواز سفر سعودي جديد عوضاً عن المفقود إلكترونياً.
خطوات الخدمة: 1. الدخول لأبشر;2. خدمات الجوازات;3. طلب جديد;4. إصدار جواز بدل مفقود;5. سداد الرسوم واختيار طريقة الاستلام.
المستندات المطلوبة: الإبلاغ عن فقدان الجواز مسبقاً، سداد الرسوم، وجود عنوان وطني.",الجوازات,1. الدخول لأبشر;2. خدمات الجوازات;3. طلب جديد;4. إصدار جواز بدل مفقود;5. سداد الرسوم واختيار طريقة الاستلام.,الإبلاغ عن فقدان الجواز مسبقاً، سداد الرسوم، وجود عنوان وطني.,300 ريال (لمدة 5 سنوات)، 600 ريال (لمدة 10 سنوات),https://my.gov.sa/ar/services/343104
إصدار جواز بدل مفقود,"رسوم الخدمة: 300 ريال (لمدة 5 سنوات)، 600 ريال (لمدة 10 سنوات)
الرابط الرسمي: https://my.gov.sa/ar/services/343104",الجوازات,1. الدخول لأبشر;2. خدمات الجوازات;3. طلب جديد;4. إصدار جواز بدل مفقود;5. سداد الرسوم واختيار طريقة الاستلام.,الإبلاغ عن فقدان الجواز مسبقاً، سداد الرسوم، وجود عنوان وطني.,300 ريال (لمدة 5 سنوات)، 600 ريال (لمدة 10 سنوات),https://my.gov.sa/ar/services/343104
تسجيل المواليد,"اسم الخدمة: تسجيل المواليد
القطاع: الأحوال المدنية
الفئة المستهدفة: أفراد
وصف الخدمة: تمكن الوالدين من تسجيل واقعة الميلاد إلكترونياً وطلب توصيل شهادة الميلاد وسجل الأسرة.
خطوات الخدمة: 1. الدخول لأبشر;2. خدمات الأحوال المدنية;3. تسجيل المواليد;4. اختيار المولود;5. تأكيد البيانات وطلب التوصيل.
المستندات المطلوبة: وجود تبليغ ولادة إلكتروني من المستشفى، أن يكون مقدم الطلب الأب أو الأم.",الأحوال المدنية,1. الدخول لأبشر;2. خدمات الأحوال المدنية;3. تسجيل المواليد;4. اختيار المولود;5. تأكيد البيانات وطلب التوصيل.,وجود تبليغ ولادة إلكتروني من المستشفى، أن يكون مقدم الطلب الأب أو الأم.,مجانية (تطبق رسوم التوصيل),https://my.gov.sa/ar/services/112099
تسجيل المواليد,"رسوم الخدمة: مجانية (تطبق رسوم التوصيل)
الرابط الرسمي: https://my.gov.sa/ar/services/112099",الأحوال المدنية,1. الدخول لأبشر;2. خدمات الأحوال المدنية;3. تسجيل المواليد;4. اختيار المولود;5. تأكيد البيانات وطلب التوصيل.,وجود تبليغ ولادة إلكتروني من المستشفى، أن يكون مقدم الطلب الأب أو الأم.,مجانية (تطبق رسوم التوصيل),https://my.gov.sa/ar/services/112099
إصدار تأشيرة خروج وعودة أو نهائي,"اسم الخدمة: إصدار تأشيرة خروج وعودة أو نهائي
القطاع: الجوازات
الفئة المستهدفة: أفراد
وصف الخدمة: إصدار تأشيرات السفر للخارج أو المغادرة النهائية للمكفولين أو أفراد الأسرة.
خطوات الخدمة: 1. الدخول لأبشر;2. خدمات التأشيرات;3. اختيار الشخص المستهدف;4. تحديد نوع التأشيرة والمدة;5. الإصدار والتأكيد.",الجوازات,1. الدخول لأبشر;2. خدمات التأشيرات;3. اختيار الشخص المستهدف;4. تحديد نوع التأشيرة والمدة;5. الإصدار والتأكيد.,سداد الرسوم، سريان مفعول الإقامة والجواز، تواجد الشخص داخل المملكة، عدم وجود مخالفات مرورية.,200 ريال (للخروج والعودة المفردة),https://my.gov.sa/ar/services/269423
إصدار تأشيرة خروج وعودة أو نهائي,"المستندات المطلوبة: سداد الرسوم، سريان مفعول الإقامة والجواز، تواجد الشخص داخل المملكة، عدم وجود مخالفات مرورية.
رسوم الخدمة: 200 ريال (للخروج والعودة المفردة)
الرابط الرسمي: https://my.gov.sa/ar/services/269423",الجوازات,1. الدخول لأبشر;2. خدمات التأشيرات;3. اختيار الشخص المستهدف;4. تحديد نوع التأشيرة والمدة;5. الإصدار والتأكيد.,سداد الرسوم، سريان مفعول الإقامة والجواز، تواجد الشخص داخل المملكة، عدم وجود مخالفات مرورية.,200 ريال (للخروج والعودة المفردة),https://my.gov.sa/ar/services/269423
الاستعلام عن حالة تأشيرة خروج وعودة,"اسم الخدمة: الاستعلام عن حالة تأشيرة خروج وعودة
القطاع: الجوازات
الفئة المستهدفة: أفراد
وصف الخدمة: خدمة استعلامية تتيح معرفة تفاصيل وصلاحية تأشيرة الخروج والعودة.
خطوات الخدمة: 1. الدخول لأبشر;2. قسم العمالة أو أفراد الأسرة;3. استعلامات;4. حالة تأشيرة خروج وعودة;5. إدخال البيانات المطلوبة.
المستندات المطلوبة: توفر رقم الإقامة ورقم رخصة العمل أو رقم الجواز.
رسوم الخدمة: مجانية",الجوازات,1. الدخول لأبشر;2. قسم العمالة أو أفراد الأسرة;3. استعلامات;4. حالة تأشيرة خروج وعودة;5. إدخال البيانات المطلوبة.,توفر رقم الإقامة ورقم رخصة العمل أو رقم الجواز.,مجانية,https://my.gov.sa/ar/services/269448
الاستعلام عن حالة تأشيرة خروج وعودة,"رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/269448",الجوازات,1. الدخول لأبشر;2. قسم العمالة أو أفراد الأسرة;3. استعلامات;4. حالة تأشيرة خروج وعودة;5. إدخال البيانات المطلوبة.,توفر رقم الإقامة ورقم رخصة العمل أو رقم الجواز.,مجانية,https://my.gov.sa/ar/services/269448
الاعتراض على المخالفات المرورية,"اسم الخدمة: الاعتراض على المخالفات المرورية
القطاع: المرور
الفئة المستهدفة: أفراد
وصف الخدمة: تتيح للمستفيد الاعتراض إلكترونياً على المخالفات المرورية المسجلة ضده.
خطوات الخدمة: 1. الدخول لأبشر;2. خدماتي;3. خدمات المرور;4. الاعتراض على المخالفات المرورية;5. اختيار المخالفة وتقديم الاعتراض.",المرور,1. الدخول لأبشر;2. خدماتي;3. خدمات المرور;4. الاعتراض على المخالفات المرورية;5. اختيار المخالفة وتقديم الاعتراض.,تقديم الاعتراض خلال 30 يوماً من تسجيل المخالفة، ألا يكون قد صدر قرار سابق على نفس المخالفة.,مجانية,https://my.gov.sa/ar/services/266205
الاعتراض على المخالفات المرورية,"المستندات المطلوبة: تقديم الاعتراض خلال 30 يوماً من تسجيل المخالفة، ألا يكون قد صدر قرار سابق على نفس المخالفة.
رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/266205",المرور,1. الدخول لأبشر;2. خدماتي;3. خدمات المرور;4. الاعتراض على المخالفات المرورية;5. اختيار المخالفة وتقديم الاعتراض.,تقديم الاعتراض خلال 30 يوماً من تسجيل المخالفة، ألا يكون قد صدر قرار سابق على نفس المخالفة.,مجانية,https://my.gov.sa/ar/services/266205
تفويض مركبة,"اسم الخدمة: تفويض مركبة
القطاع: المرور
الفئة المستهدفة: أفراد
وصف الخدمة: تمكن مالك المركبة من إضافة مفوض لقيادة المركبة داخل أو خارج المملكة.
خطوات الخدمة: 1. الدخول لأبشر;2. المركبات;3. إدارة المركبات;4. اختيار المركبة;5. إضافة تفويض واتباع الخطوات.
المستندات المطلوبة: وجود تأمين ساري، سداد الرسوم والمخالفات، تسجيل الطرفين في أبشر.
رسوم الخدمة: مجانية",المرور,1. الدخول لأبشر;2. المركبات;3. إدارة المركبات;4. اختيار المركبة;5. إضافة تفويض واتباع الخطوات.,وجود تأمين ساري، سداد الرسوم والمخالفات، تسجيل الطرفين في أبشر.,مجانية,https://my.gov.sa/ar/services/269504
تفويض مركبة,"رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/269504",المرور,1. الدخول لأبشر;2. المركبات;3. إدارة المركبات;4. اختيار المركبة;5. إضافة تفويض واتباع الخطوات.,وجود تأمين ساري، سداد الرسوم والمخالفات، تسجيل الطرفين في أبشر.,مجانية,https://my.gov.sa/ar/services/269504
تمديد تأشيرة الزيارة,"اسم الخدمة: تمديد تأشيرة الزيارة
القطاع: الجوازات
الفئة المستهدفة: أفراد (زائرين)
وصف الخدمة: تتيح للمستفيد طلب تمديد تأشيرة الزيارة إلكترونياً قبل انتهائها.
خطوات الخدمة: 1. الدخول لأبشر;2. خدمات أفراد الأسرة أو العمالة;3. تمديد تأشيرة الزيارة;4. إكمال البيانات وسداد الرسوم.",الجوازات,1. الدخول لأبشر;2. خدمات أفراد الأسرة أو العمالة;3. تمديد تأشيرة الزيارة;4. إكمال البيانات وسداد الرسوم.,أن يكون متبقي على انتهاء التأشيرة 7 أيام أو أقل، ألا يكون قد مضى على انتهائها أكثر من 3 أيام، سداد الرسوم.,100 ريال,https://my.gov.sa/ar/services/269236
تمديد تأشيرة الزيارة,"المستندات المطلوبة: أن يكون متبقي على انتهاء التأشيرة 7 أيام أو أقل، ألا يكون قد مضى على انتهائها أكثر من 3 أيام، سداد الرسوم.
رسوم الخدمة: 100 ريال
الرابط الرسمي: https://my.gov.sa/ar/services/269236",الجوازات,1. الدخول لأبشر;2. خدمات أفراد الأسرة أو العمالة;3. تمديد تأشيرة الزيارة;4. إكمال البيانات وسداد الرسوم.,أن يكون متبقي على انتهاء التأشيرة 7 أيام أو أقل، ألا يكون قد مضى على انتهائها أكثر من 3 أيام، سداد الرسوم.,100 ريال,https://my.gov.sa/ar/services/269236
إلغاء تأشيرة الخروج والعودة,"اسم الخدمة: إلغاء تأشيرة الخروج والعودة
القطاع: الجوازات
الفئة المستهدفة: أفراد
وصف الخدمة: تمكن صاحب العمل أو رب الأسرة من إلغاء تأشيرة تم إصدارها سابقاً ولم يتم السفر بها.
خطوات الخدمة: 1. الدخول لأبشر;2. خدمات التأشيرات;3. اختيار الشخص;4. إلغاء التأشيرة;5. التأكيد.
المستندات المطلوبة: أن يتم الإلغاء خلال فترة صلاحية التأشيرة، وجود الشخص داخل المملكة.
رسوم الخدمة: مجانية (لا تسترد رسوم الإصدار)",الجوازات,1. الدخول لأبشر;2. خدمات التأشيرات;3. اختيار الشخص;4. إلغاء التأشيرة;5. التأكيد.,أن يتم الإلغاء خلال فترة صلاحية التأشيرة، وجود الشخص داخل المملكة.,مجانية (لا تسترد رسوم الإصدار),https://my.gov.sa/ar/services/269426
إلغاء تأشيرة الخروج والعودة,"رسوم الخدمة: مجانية (لا تسترد رسوم الإصدار)
الرابط الرسمي: https://my.gov.sa/ar/services/269426",الجوازات,1. الدخول لأبشر;2. خدمات التأشيرات;3. اختيار الشخص;4. إلغاء التأشيرة;5. التأكيد.,أن يتم الإلغاء خلال فترة صلاحية التأشيرة، وجود الشخص داخل المملكة.,مجانية (لا تسترد رسوم الإصدار),https://my.gov.sa/ar/services/269426
إصدار الجواز السعودي,"اسم الخدمة: إصدار الجواز السعودي
القطاع: الجوازات
الفئة المستهدفة: أفراد (مواطنين)
وصف الخدمة: تتيح للمواطن إصدار جواز السفر السعودي لأول مرة أو تجديده إلكترونياً.
خطوات الخدمة: 1. الدخول لأبشر;2. خدماتي;3. الجوازات;4. إصدار الجواز السعودي;5. تحديد المدة وسداد الرسوم وتحديد العنوان.
المستندات المطلوبة: سداد الرسوم، وجود هوية وطنية سارية، وجود بصمة مسجلة، العنوان الوطني.",الجوازات,1. الدخول لأبشر;2. خدماتي;3. الجوازات;4. إصدار الجواز السعودي;5. تحديد المدة وسداد الرسوم وتحديد العنوان.,سداد الرسوم، وجود هوية وطنية سارية، وجود بصمة مسجلة، العنوان الوطني.,300 ريال (5 سنوات)، 600 ريال (10 سنوات),https://my.gov.sa/ar/services/112093
إصدار الجواز السعودي,"رسوم الخدمة: 300 ريال (5 سنوات)، 600 ريال (10 سنوات)
الرابط الرسمي: https://my.gov.sa/ar/services/112093",الجوازات,1. الدخول لأبشر;2. خدماتي;3. الجوازات;4. إصدار الجواز السعودي;5. تحديد المدة وسداد الرسوم وتحديد العنوان.,سداد الرسوم، وجود هوية وطنية سارية، وجود بصمة مسجلة، العنوان الوطني.,300 ريال (5 سنوات)، 600 ريال (10 سنوات),https://my.gov.sa/ar/services/112093
تجديد هوية مقيم (أفراد),"اسم الخدمة: تجديد هوية مقيم (أفراد)
القطاع: الجوازات
الفئة المستهدفة: أفراد
وصف الخدمة: تمكن الفرد من تجديد إقامة أفراد الأسرة أو العمالة المنزلية إلكترونياً.
خطوات الخدمة: 1. الدخول لأبشر;2. خدمات المكفولين أو أفراد الأسرة;3. تجديد الإقامة;4. تحديد المدة والتأكيد.
المستندات المطلوبة: سداد الرسوم، سداد المخالفات، وجود تأمين طبي، تواجد الشخص داخل المملكة.
رسوم الخدمة: 600 ريال (للعمالة المنزلية)",الجوازات,1. الدخول لأبشر;2. خدمات المكفولين أو أفراد الأسرة;3. تجديد الإقامة;4. تحديد المدة والتأكيد.,سداد الرسوم، سداد المخالفات، وجود تأمين طبي، تواجد الشخص داخل المملكة.,600 ريال (للعمالة المنزلية),https://my.gov.sa/ar/services/112096
تجديد هوية مقيم (أفراد),"رسوم الخدمة: 600 ريال (للعمالة المنزلية)
الرابط الرسمي: https://my.gov.sa/ar/services/112096",الجوازات,1. الدخول لأبشر;2. خدمات المكفولين أو أفراد الأسرة;3. تجديد الإقامة;4. تحديد المدة والتأكيد.,سداد الرسوم، سداد المخالفات، وجود تأمين طبي، تواجد الشخص داخل المملكة.,600 ريال (للعمالة المنزلية),https://my.gov.sa/ar/services/112096
الإبلاغ عن فقدان الجواز السعودي لأفراد الأسرة,"اسم الخدمة: الإبلاغ عن فقدان الجواز السعودي لأفراد الأسرة
القطاع: الجوازات
الفئة المستهدفة: أفراد (مواطنين)
وصف الخدمة: تمكن رب الأسرة من الإبلاغ إلكترونياً عن فقدان أو سرقة جواز سفر أحد أفراد أسرته.
خطوات الخدمة: 1. الدخول لأبشر;2. خدماتي ثم الجوازات;3. الإبلاغ عن فقدان الجواز;4. اختيار فرد الأسرة وتحديد نوع البلاغ;5. تأكيد الطلب.",الجوازات,1. الدخول لأبشر;2. خدماتي ثم الجوازات;3. الإبلاغ عن فقدان الجواز;4. اختيار فرد الأسرة وتحديد نوع البلاغ;5. تأكيد الطلب.,تعبئة تفاصيل البلاغ بدقة، أن يكون المبلغ هو رب الأسرة المسجل نظاماً.,مجانية,https://my.gov.sa/ar/services/143484
الإبلاغ عن فقدان الجواز السعودي لأفراد الأسرة,"المستندات المطلوبة: تعبئة تفاصيل البلاغ بدقة، أن يكون المبلغ هو رب الأسرة المسجل نظاماً.
رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/143484",الجوازات,1. الدخول لأبشر;2. خدماتي ثم الجوازات;3. الإبلاغ عن فقدان الجواز;4. اختيار فرد الأسرة وتحديد نوع البلاغ;5. تأكيد الطلب.,تعبئة تفاصيل البلاغ بدقة، أن يكون المبلغ هو رب الأسرة المسجل نظاماً.,مجانية,https://my.gov.sa/ar/services/143484
إصدار رخصة قيادة (مواعيد),"اسم الخدمة: إصدار رخصة قيادة (مواعيد)
القطاع: المرور
الفئة المستهدفة: أفراد
وصف الخدمة: تتيح حجز موعد في مدارس تعليم القيادة المعتمدة لإجراء التدريب والاختبارات.
خطوات الخدمة: 1. الدخول لأبشر;2. مواعيد ثم المرور;3. حجز موعد جديد;4. اختيار خدمة التدريب في مدارس القيادة;5. تحديد المدرسة والوقت والتأكيد.
المستندات المطلوبة: توفر حساب أبشر، الالتزام بالموعد المحدد في المدرسة المختارة.",المرور,1. الدخول لأبشر;2. مواعيد ثم المرور;3. حجز موعد جديد;4. اختيار خدمة التدريب في مدارس القيادة;5. تحديد المدرسة والوقت والتأكيد.,توفر حساب أبشر، الالتزام بالموعد المحدد في المدرسة المختارة.,مجانية (للحجز),https://my.gov.sa/ar/services/112124
إصدار رخصة قيادة (مواعيد),"رسوم الخدمة: مجانية (للحجز)
الرابط الرسمي: https://my.gov.sa/ar/services/112124",المرور,1. الدخول لأبشر;2. مواعيد ثم المرور;3. حجز موعد جديد;4. اختيار خدمة التدريب في مدارس القيادة;5. تحديد المدرسة والوقت والتأكيد.,توفر حساب أبشر، الالتزام بالموعد المحدد في المدرسة المختارة.,مجانية (للحجز),https://my.gov.sa/ar/services/112124
مبايعة المركبات,"اسم الخدمة: مبايعة المركبات
القطاع: المرور
الفئة المستهدفة: أفراد
وصف الخدمة: إتمام إجراءات بيع ونقل ملكية المركبة إلكترونياً بين البائع والمشتري بشكل آمن.
خطوات الخدمة: 1. دخول البائع لأبشر وتحديد المركبة والسعر;2. إدخال بيانات المشتري والحساب البنكي;3. قبول المشتري للطلب وتحويل المبلغ لحساب وسيط;4. سداد الرسوم والتأكيد.",المرور,1. دخول البائع لأبشر وتحديد المركبة والسعر;2. إدخال بيانات المشتري والحساب البنكي;3. قبول المشتري للطلب وتحويل المبلغ لحساب وسيط;4. سداد الرسوم والتأكيد.,"فحص دوري ساري، تأمين ساري، عدم وجود مخالفات، السعر بين 500 و1,000,000 ريال.",380 ريال,https://my.gov.sa/ar/services/112114
مبايعة المركبات,"المستندات المطلوبة: فحص دوري ساري، تأمين ساري، عدم وجود مخالفات، السعر بين 500 و1,000,000 ريال.
رسوم الخدمة: 380 ريال
الرابط الرسمي: https://my.gov.sa/ar/services/112114",المرور,1. دخول البائع لأبشر وتحديد المركبة والسعر;2. إدخال بيانات المشتري والحساب البنكي;3. قبول المشتري للطلب وتحويل المبلغ لحساب وسيط;4. سداد الرسوم والتأكيد.,"فحص دوري ساري، تأمين ساري، عدم وجود مخالفات، السعر بين 500 و1,000,000 ريال.",380 ريال,https://my.gov.sa/ar/services/112114
تجديد رخصة القيادة,"اسم الخدمة: تجديد رخصة القيادة
القطاع: المرور
الفئة المستهدفة: أفراد
وصف الخدمة: تجديد رخصة القيادة الخاصة أو رخصة الدراجة النارية إلكترونياً وتوصيلها للعنوان.
خطوات الخدمة: 1. الدخول لأبشر;2. خدماتي ثم المرور;3. تجديد رخصة القيادة;4. اختيار نوع الرخصة والمدة;5. سداد الرسوم واختيار عنوان التوصيل.",المرور,1. الدخول لأبشر;2. خدماتي ثم المرور;3. تجديد رخصة القيادة;4. اختيار نوع الرخصة والمدة;5. سداد الرسوم واختيار عنوان التوصيل.,إجراء الفحص الطبي في مركز معتمد، سداد الرسوم والمخالفات، بقاء أقل من 180 يوماً على الانتهاء.,متغيرة (حسب عدد السنوات),https://my.gov.sa/ar/services/99736
تجديد رخصة القيادة,"المستندات المطلوبة: إجراء الفحص الطبي في مركز معتمد، سداد الرسوم والمخالفات، بقاء أقل من 180 يوماً على الانتهاء.
رسوم الخدمة: متغيرة (حسب عدد السنوات)
الرابط الرسمي: https://my.gov.sa/ar/services/99736",المرور,1. الدخول لأبشر;2. خدماتي ثم المرور;3. تجديد رخصة القيادة;4. اختيار نوع الرخصة والمدة;5. سداد الرسوم واختيار عنوان التوصيل.,إجراء الفحص الطبي في مركز معتمد، سداد الرسوم والمخالفات، بقاء أقل من 180 يوماً على الانتهاء.,متغيرة (حسب عدد السنوات),https://my.gov.sa/ar/services/99736
تجديد رخصة سير (استمارة),"اسم الخدمة: تجديد رخصة سير (استمارة)
القطاع: المرور
الفئة المستهدفة: أفراد
وصف الخدمة: تمكن مالك المركبة من تجديد استمارة السيارة إلكترونياً دون الحاجة لزيارة فروع المرور.
خطوات الخدمة: 1. الدخول لأبشر;2. المركبات ثم إدارة المركبات;3. اختيار المركبة;4. اختيار تجديد رخصة سير;5. تأكيد التجديد.
المستندات المطلوبة: وجود فحص دوري ساري، تأمين ساري، سداد رسوم التجديد والمخالفات.",المرور,1. الدخول لأبشر;2. المركبات ثم إدارة المركبات;3. اختيار المركبة;4. اختيار تجديد رخصة سير;5. تأكيد التجديد.,وجود فحص دوري ساري، تأمين ساري، سداد رسوم التجديد والمخالفات.,متغيرة (حسب نوع المركبة),https://my.gov.sa/ar/services/112111
تجديد رخصة سير (استمارة),"رسوم الخدمة: متغيرة (حسب نوع المركبة)
الرابط الرسمي: https://my.gov.sa/ar/services/112111",المرور,1. الدخول لأبشر;2. المركبات ثم إدارة المركبات;3. اختيار المركبة;4. اختيار تجديد رخصة سير;5. تأكيد التجديد.,وجود فحص دوري ساري، تأمين ساري، سداد رسوم التجديد والمخالفات.,متغيرة (حسب نوع المركبة),https://my.gov.sa/ar/services/112111
