category,lang,question,ground_truth
المرور,French,Quelles sont les procédures et les frais pour مبايعة المركبات ?,"Pour compléter le service مبايعة المركبات, suivez ces étapes : 1. دخول البائع لأبشر وتحديد المركبة والسعر;2. إدخال بيانات المشتري والحساب البنكي;3. قبول المشتري للطلب وتحويل المبلغ لحساب وسيط;4. سداد الرسوم والتأكيد.. Les frais de service sont : 380 ريال."
الأحوال المدنية,French,Quelles sont les procédures et les frais pour تسجيل المواليد ?,"Pour compléter le service تسجيل المواليد, suivez ces étapes : 1. الدخول لأبشر;2. خدمات الأحوال المدنية;3. تسجيل المواليد;4. اختيار المولود;5. تأكيد البيانات وطلب التوصيل.. Les frais de service sont : مجانية (تطبق رسوم التوصيل)."
الأحوال المدنية,French,Quelles sont les procédures et les frais pour تجديد الهوية الوطنية ?,"Pour compléter le service تجديد الهوية الوطنية, suivez ces étapes : 1. الدخول لأبشر;2. خدماتي ثم الأحوال المدنية;3. تجديد الهوية الوطنية;4. رفع صورة شخصية مطابقة للمواصفات;5. سداد أجور التوصيل.. Les frais de service sont : مجانية (تطبق رسوم التوصيل)."
الأمن العام,French,Quelles sont les procédures et les frais pour شهادة خلو سوابق ?,"Pour compléter le service شهادة خلو سوابق, suivez ces étapes : 1. الدخول لأبشر;2. الخدمات العامة;3. تقارير أبشر;4. طلب شهادة خلو سوابق;5. سداد الرسوم واستعراض الشهادة.. Les frais de service sont : متغيرة."
المديرية العامة للسجون,French,Quelles sont les procédures et les frais pour فرجت ?,"Pour compléter le service فرجت, suivez ces étapes : 1. الدخول لأبشر أو منصة فرجت. 2. اختيار تصنيف الحالة (المنطقة، المبلغ). 3. الحصول على رقم فاتورة سداد. 4. المساهمة بالمبلغ عبر البنك.. Les frais de service sont : مجانية (الخدمة تبرعية)."
المرور,French,Quelles sont les procédures et les frais pour نقل اللوحات ?,"Pour compléter le service نقل اللوحات, suivez ces étapes : 1. تسجيل الدخول إلى أبشر. 2. اختيار المركبات ثم إدارة المركبات. 3. اختيار المركبة المعنية. 4. اختيار نقل اللوحات. 5. استكمال البيانات المطلوبة وتأكيد الطلب.. Les frais de service sont : مجانية (للتنفيذ الرقمي)."
الأحوال المدنية,French,Quelles sont les procédures et les frais pour شهادة الميلاد الرقمية ?,"Pour compléter le service شهادة الميلاد الرقمية, suivez ces étapes : 1. الدخول لأبشر واختيار الخدمات العامة. 2. اختيار التحقق من وثيقة رقمية. 3. اختيار شهادة ميلاد وإدخال البيانات. 4. عرض الوثيقة وطباعتها.. Les frais de service sont : مجانية."
الجوازات,French,Quelles sont les procédures et les frais pour استعلام عن صلاحية التأشيرة ?,"Pour compléter le service استعلام عن صلاحية التأشيرة, suivez ces étapes : 1. الدخول لمنصة أبشر;2. استعلامات الجوازات;3. صلاحية التأشيرة;4. إدخال رقم الإقامة ورقم التأشيرة.. Les frais de service sont : مجانية."
وزارة الداخلية,French,Quelles sont les procédures et les frais pour استعلام عن البصمة ?,"Pour compléter le service استعلام عن البصمة, suivez ces étapes : 1. الدخول لأبشر;2. استعلامات;3. استعلام عن البصمة;4. إدخال رقم الهوية والرمز المرئي.. Les frais de service sont : مجانية."
المرور,French,Quelles sont les procédures et les frais pour إسقاط المركبات المهملة ?,"Pour compléter le service إسقاط المركبات المهملة, suivez ces étapes : 1. الاستعلام عن المراكز المعتمدة في أبشر;2. تسليم المركبة واللوحات للمركز;3. إعطاء رمز التحقق للمركز لإتمام الإسقاط.. Les frais de service sont : مجانية (خلال الفترة التصحيحية)."
الجوازات,French,Quelles sont les procédures et les frais pour تمديد تأشيرة خروج وعودة (خارج المملكة) ?,"Pour compléter le service تمديد تأشيرة خروج وعودة (خارج المملكة), suivez ces étapes : 1. الدخول لأبشر;2. خدمات التأشيرات;3. اختيار الشخص (خارج المملكة);4. طلب تمديد التأشيرة وسداد الرسوم.. Les frais de service sont : 100 ريال (للمفردة)."
الأحوال المدنية,French,Quelles sont les procédures et les frais pour إصدار شهادة وفاة ?,"Pour compléter le service إصدار شهادة وفاة, suivez ces étapes : 1. الدخول لأبشر;2. خدمات الأحوال المدنية;3. شهادة الوفاة;4. استعراض بلاغات الوفاة المسجلة;5. تأكيد الإصدار والطباعة.. Les frais de service sont : مجانية."
الجوازات,Spanish,¿Cuáles son los procedimientos y tarifas para إصدار هوية مقيم?,"Para completar el servicio إصدار هوية مقيم, siga estos pasos: 1. الدخول إلى منصة أبشر أعمال;2. اختيار خدمات أعمالي;3. اختيار إصدار الإقامة;4. اختيار العامل المطلوب;5. التأكد من البيانات وسداد الرسوم;6. تأكيد الإصدار.. La tarifa del servicio es: 600 ريال (للعمالة المنزلية)، 650 ريال (للقطاع الخاص)."
الجوازات,Spanish,¿Cuáles son los procedimientos y tarifas para إصدار جواز بدل مفقود?,"Para completar el servicio إصدار جواز بدل مفقود, siga estos pasos: 1. الدخول لأبشر;2. خدمات الجوازات;3. طلب جديد;4. إصدار جواز بدل مفقود;5. سداد الرسوم واختيار طريقة الاستلام.. La tarifa del servicio es: 300 ريال (لمدة 5 سنوات)، 600 ريال (لمدة 10 سنوات)."
وزارة الداخلية,Spanish,¿Cuáles son los procedimientos y tarifas para تجديد الإقامة (أبشر أعمال)?,"Para completar el servicio تجديد الإقامة (أبشر أعمال), siga estos pasos: 1. تسجيل الدخول لأبشر أعمال;2. خدمات أعمالي;3. تجديد الإقامة;4. اختيار العامل وتحديد مدة التجديد;5. سداد الرسوم والتأكيد.. La tarifa del servicio es: متغيرة."
المرور,Spanish,¿Cuáles son los procedimientos y tarifas para مبايعة المركبات?,"Para completar el servicio مبايعة المركبات, siga estos pasos: 1. دخول البائع لأبشر وتحديد المركبة والسعر;2. إدخال بيانات المشتري والحساب البنكي;3. قبول المشتري للطلب وتحويل المبلغ لحساب وسيط;4. سداد الرسوم والتأكيد.. La tarifa del servicio es: 380 ريال."
الأحوال المدنية,Spanish,¿Cuáles son los procedimientos y tarifas para تسجيل المواليد?,"Para completar el servicio تسجيل المواليد, siga estos pasos: 1. الدخول لأبشر;2. خدمات الأحوال المدنية;3. تسجيل المواليد;4. اختيار المولود;5. تأكيد البيانات وطلب التوصيل.. La tarifa del servicio es: مجانية (تطبق رسوم التوصيل)."
الأحوال المدنية,Spanish,¿Cuáles son los procedimientos y tarifas para تجديد الهوية الوطنية?,"Para completar el servicio تجديد الهوية الوطنية, siga estos pasos: 1. الدخول لأبشر;2. خدماتي ثم الأحوال المدنية;3. تجديد الهوية الوطنية;4. رفع صورة شخصية مطابقة للمواصفات;5. سداد أجور التوصيل.. La tarifa del servicio es: مجانية (تطبق رسوم التوصيل)."
الأمن العام,Spanish,¿Cuáles son los procedimientos y tarifas para شهادة خلو سوابق?,"Para completar el servicio شهادة خلو سوابق, siga estos pasos: 1. الدخول لأبشر;2. الخدمات العامة;3. تقارير أبشر;4. طلب شهادة خلو سوابق;5. سداد الرسوم واستعراض الشهادة.. La tarifa del servicio es: متغيرة."
المديرية العامة للسجون,Spanish,¿Cuáles son los procedimientos y tarifas para فرجت?,"Para completar el servicio فرجت, siga estos pasos: 1. الدخول لأبشر أو منصة فرجت. 2. اختيار تصنيف الحالة (المنطقة، المبلغ). 3. الحصول على رقم فاتورة سداد. 4. المساهمة بالمبلغ عبر البنك.. La tarifa del servicio es: مجانية (الخدمة تبرعية)."
المرور,Spanish,¿Cuáles son los procedimientos y tarifas para نقل اللوحات?,"Para completar el servicio نقل اللوحات, siga estos pasos: 1. تسجيل الدخول إلى أبشر. 2. اختيار المركبات ثم إدارة المركبات. 3. اختيار المركبة المعنية. 4. اختيار نقل اللوحات. 5. استكمال البيانات المطلوبة وتأكيد الطلب.. La tarifa del servicio es: مجانية (للتنفيذ الرقمي)."
الأحوال المدنية,Spanish,¿Cuáles son los procedimientos y tarifas para شهادة الميلاد الرقمية?,"Para completar el servicio شهادة الميلاد الرقمية, siga estos pasos: 1. الدخول لأبشر واختيار الخدمات العامة. 2. اختيار التحقق من وثيقة رقمية. 3. اختيار شهادة ميلاد وإدخال البيانات. 4. عرض الوثيقة وطباعتها.. La tarifa del servicio es: مجانية."
الجوازات,Spanish,¿Cuáles son los procedimientos y tarifas para استعلام عن صلاحية التأشيرة?,"Para completar el servicio استعلام عن صلاحية التأشيرة, siga estos pasos: 1. الدخول لمنصة أبشر;2. استعلامات الجوازات;3. صلاحية التأشيرة;4. إدخال رقم الإقامة ورقم التأشيرة.. La tarifa del servicio es: مجانية."
وزارة الداخلية,Spanish,¿Cuáles son los procedimientos y tarifas para استعلام عن البصمة?,"Para completar el servicio استعلام عن البصمة, siga estos pasos: 1. الدخول لأبشر;2. استعلامات;3. استعلام عن البصمة;4. إدخال رقم الهوية والرمز المرئي.. La tarifa del servicio es: مجانية."
المرور,Spanish,¿Cuáles son los procedimientos y tarifas para إسقاط المركبات المهملة?,"Para completar el servicio إسقاط المركبات المهملة, siga estos pasos: 1. الاستعلام عن المراكز المعتمدة في أبشر;2. تسليم المركبة واللوحات للمركز;3. إعطاء رمز التحقق للمركز لإتمام الإسقاط.. La tarifa del servicio es: مجانية (خلال الفترة التصحيحية)."
الجوازات,Spanish,¿Cuáles son los procedimientos y tarifas para تمديد تأشيرة خروج وعودة (خارج المملكة)?,"Para completar el servicio تمديد تأشيرة خروج وعودة (خارج المملكة), siga estos pasos: 1. الدخول لأبشر;2. خدمات التأشيرات;3. اختيار الشخص (خارج المملكة);4. طلب تمديد التأشيرة وسداد الرسوم.. La tarifa del servicio es: 100 ريال (للمفردة)."
الأحوال المدنية,Spanish,¿Cuáles son los procedimientos y tarifas para إصدار شهادة وفاة?,"Para completar el servicio إصدار شهادة وفاة, siga estos pasos: 1. الدخول لأبشر;2. خدمات الأحوال المدنية;3. شهادة الوفاة;4. استعراض بلاغات الوفاة المسجلة;5. تأكيد الإصدار والطباعة.. La tarifa del servicio es: مجانية."
الجوازات,German,Was sind die Verfahren und Gebühren für إصدار هوية مقيم?,"Um den Dienst إصدار هوية مقيم abzuschließen, befolgen Sie diese Schritte: 1. الدخول إلى منصة أبشر أعمال;2. اختيار خدمات أعمالي;3. اختيار إصدار الإقامة;4. اختيار العامل المطلوب;5. التأكد من البيانات وسداد الرسوم;6. تأكيد الإصدار.. Die Servicegebühr beträgt: 600 ريال (للعمالة المنزلية)، 650 ريال (للقطاع الخاص)."
الجوازات,German,Was sind die Verfahren und Gebühren für إصدار جواز بدل مفقود?,"Um den Dienst إصدار جواز بدل مفقود abzuschließen, befolgen Sie diese Schritte: 1. الدخول لأبشر;2. خدمات الجوازات;3. طلب جديد;4. إصدار جواز بدل مفقود;5. سداد الرسوم واختيار طريقة الاستلام.. Die Servicegebühr beträgt: 300 ريال (لمدة 5 سنوات)، 600 ريال (لمدة 10 سنوات)."
وزارة الداخلية,German,Was sind die Verfahren und Gebühren für تجديد الإقامة (أبشر أعمال)?,"Um den Dienst تجديد الإقامة (أبشر أعمال) abzuschließen, befolgen Sie diese Schritte: 1. تسجيل الدخول لأبشر أعمال;2. خدمات أعمالي;3. تجديد الإقامة;4. اختيار العامل وتحديد مدة التجديد;5. سداد الرسوم والتأكيد.. Die Servicegebühr beträgt: متغيرة."
المرور,German,Was sind die Verfahren und Gebühren für مبايعة المركبات?,"Um den Dienst مبايعة المركبات abzuschließen, befolgen Sie diese Schritte: 1. دخول البائع لأبشر وتحديد المركبة والسعر;2. إدخال بيانات المشتري والحساب البنكي;3. قبول المشتري للطلب وتحويل المبلغ لحساب وسيط;4. سداد الرسوم والتأكيد.. Die Servicegebühr beträgt: 380 ريال."
الأحوال المدنية,German,Was sind die Verfahren und Gebühren für تسجيل المواليد?,"Um den Dienst تسجيل المواليد abzuschließen, befolgen Sie diese Schritte: 1. الدخول لأبشر;2. خدمات الأحوال المدنية;3. تسجيل المواليد;4. اختيار المولود;5. تأكيد البيانات وطلب التوصيل.. Die Servicegebühr beträgt: مجانية (تطبق رسوم التوصيل)."
الأحوال المدنية,German,Was sind die Verfahren und Gebühren für تجديد الهوية الوطنية?,"Um den Dienst تجديد الهوية الوطنية abzuschließen, befolgen Sie diese Schritte: 1. الدخول لأبشر;2. خدماتي ثم الأحوال المدنية;3. تجديد الهوية الوطنية;4. رفع صورة شخصية مطابقة للمواصفات;5. سداد أجور التوصيل.. Die Servicegebühr beträgt: مجانية (تطبق رسوم التوصيل)."
الأمن العام,German,Was sind die Verfahren und Gebühren für شهادة خلو سوابق?,"Um den Dienst شهادة خلو سوابق abzuschließen, befolgen Sie diese Schritte: 1. الدخول لأبشر;2. الخدمات العامة;3. تقارير أبشر;4. طلب شهادة خلو سوابق;5. سداد الرسوم واستعراض الشهادة.. Die Servicegebühr beträgt: متغيرة."
المديرية العامة للسجون,German,Was sind die Verfahren und Gebühren für فرجت?,"Um den Dienst فرجت abzuschließen, befolgen Sie diese Schritte: 1. الدخول لأبشر أو منصة فرجت. 2. اختيار تصنيف الحالة (المنطقة، المبلغ). 3. الحصول على رقم فاتورة سداد. 4. المساهمة بالمبلغ عبر البنك.. Die Servicegebühr beträgt: مجانية (الخدمة تبرعية)."
المرور,German,Was sind die Verfahren und Gebühren für نقل اللوحات?,"Um den Dienst نقل اللوحات abzuschließen, befolgen Sie diese Schritte: 1. تسجيل الدخول إلى أبشر. 2. اختيار المركبات ثم إدارة المركبات. 3. اختيار المركبة المعنية. 4. اختيار نقل اللوحات. 5. استكمال البيانات المطلوبة وتأكيد الطلب.. Die Servicegebühr beträgt: مجانية (للتنفيذ الرقمي)."
الأحوال المدنية,German,Was sind die Verfahren und Gebühren für شهادة الميلاد الرقمية?,"Um den Dienst شهادة الميلاد الرقمية abzuschließen, befolgen Sie diese Schritte: 1. الدخول لأبشر واختيار الخدمات العامة. 2. اختيار التحقق من وثيقة رقمية. 3. اختيار شهادة ميلاد وإدخال البيانات. 4. عرض الوثيقة وطباعتها.. Die Servicegebühr beträgt: مجانية."
الجوازات,German,Was sind die Verfahren und Gebühren für استعلام عن صلاحية التأشيرة?,"Um den Dienst استعلام عن صلاحية التأشيرة abzuschließen, befolgen Sie diese Schritte: 1. الدخول لمنصة أبشر;2. استعلامات الجوازات;3. صلاحية التأشيرة;4. إدخال رقم الإقامة ورقم التأشيرة.. Die Servicegebühr beträgt: مجانية."
وزارة الداخلية,German,Was sind die Verfahren und Gebühren für استعلام عن البصمة?,"Um den Dienst استعلام عن البصمة abzuschließen, befolgen Sie diese Schritte: 1. الدخول لأبشر;2. استعلامات;3. استعلام عن البصمة;4. إدخال رقم الهوية والرمز المرئي.. Die Servicegebühr beträgt: مجانية."
المرور,German,Was sind die Verfahren und Gebühren für إسقاط المركبات المهملة?,"Um den Dienst إسقاط المركبات المهملة abzuschließen, befolgen Sie diese Schritte: 1. الاستعلام عن المراكز المعتمدة في أبشر;2. تسليم المركبة واللوحات للمركز;3. إعطاء رمز التحقق للمركز لإتمام الإسقاط.. Die Servicegebühr beträgt: مجانية (خلال الفترة التصحيحية)."
الجوازات,German,Was sind die Verfahren und Gebühren für تمديد تأشيرة خروج وعودة (خارج المملكة)?,"Um den Dienst تمديد تأشيرة خروج وعودة (خارج المملكة) abzuschließen, befolgen Sie diese Schritte: 1. الدخول لأبشر;2. خدمات التأشيرات;3. اختيار الشخص (خارج المملكة);4. طلب تمديد التأشيرة وسداد الرسوم.. Die Servicegebühr beträgt: 100 ريال (للمفردة)."
الأحوال المدنية,German,Was sind die Verfahren und Gebühren für إصدار شهادة وفاة?,"Um den Dienst إصدار شهادة وفاة abzuschließen, befolgen Sie diese Schritte: 1. الدخول لأبشر;2. خدمات الأحوال المدنية;3. شهادة الوفاة;4. استعراض بلاغات الوفاة المسجلة;5. تأكيد الإصدار والطباعة.. Die Servicegebühr beträgt: مجانية."
